STATE NAME,PARTY TYPE,PARTY NAME,TOTAL VALID VOTES POLLED IN STATE,TOTAL ELECTORS IN STATE,SEATS WON,TOTAL VALID VOTES POLLED BY PARTY,% OF VALID VOTES POLLED BY PARTY,TOTAL SEATS IN STATE,% SEATS WON
Sikkim,S,Sikkim Krantikari Morcha,349467.0,434128.0,1.0,166922.0,47.76,1.0,100.0
Sikkim,N,Bharatiya Janata Party,349467.0,434128.0,0.0,16572.0,4.74,1.0,0.0
Sikkim,N,Indian National Congress,349467.0,434128.0,0.0,3990.0,1.14,1.0,0.0
Tamil Nadu,S,Dravida Munnetra Kazhagam,41825669.0,58503189.0,23.0,13877992.0,33.18,38.0,60.526315789473685
Tamil Nadu,N,Indian National Congress,41825669.0,58503189.0,8.0,5405674.0,12.92,38.0,21.052631578947366
Tamil Nadu,N,Communist Party of India,41825669.0,58503189.0,2.0,1031617.0,2.47,38.0,5.263157894736842
Telangana,S,Telangana Rashtra Samithi,18452097.0,29708615.0,9.0,7696848.0,41.71,17.0,52.94117647058824
Telangana,N,Bharatiya Janata Party,18452097.0,29708615.0,4.0,3626173.0,19.65,17.0,23.52941176470588
Telangana,N,Indian National Congress,18452097.0,29708615.0,3.0,5496686.0,29.79,17.0,17.647058823529413
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,,,,0.0,
Tripura,N,Bharatiya Janata Party,2129998.0,2614718.0,2.0,1055658.0,49.56,2.0,100.0
Tripura,N,All India Trinamool Congress,2129998.0,2614718.0,0.0,8613.0,0.4,2.0,0.0
Tripura,N,Communist Party of India  (Marxist),2129998.0,2614718.0,0.0,372789.0,17.5,2.0,0.0
Uttar Pradesh,N,Bharatiya Janata Party,85756301.0,146134603.0,62.0,42858171.0,49.98,80.0,77.5
Uttar Pradesh,N,Bahujan Samaj Party,85756301.0,146134603.0,10.0,16659754.0,19.43,80.0,12.5
Uttar Pradesh,S,Samajwadi Party,85756301.0,146134603.0,5.0,15533620.0,18.11,80.0,6.25
Uttarakhand,N,Bharatiya Janata Party,4791979.0,7856318.0,5.0,2954833.0,61.66,5.0,100.0
Uttarakhand,N,Bahujan Samaj Party,4791979.0,7856318.0,0.0,216755.0,4.52,5.0,0.0
Uttarakhand,N,Communist Party of India  (Marxist),4791979.0,7856318.0,0.0,6626.0,0.14,5.0,0.0
West Bengal,N,All India Trinamool Congress,56660188.0,70001284.0,22.0,24757345.0,43.69,42.0,52.38095238095239
West Bengal,N,Bharatiya Janata Party,56660188.0,70001284.0,18.0,23028517.0,40.64,42.0,42.857142857142854
West Bengal,N,Indian National Congress,56660188.0,70001284.0,2.0,3210491.0,5.67,42.0,4.761904761904762
